Section,Type,Path,URL,Name
Static,Page,/,https://medicaltoursindia.com/,"Homepage"
Static,Page,/about-us,https://medicaltoursindia.com/about-us,"About Us"
Static,Page,/why-india-for-medical-treatment,https://medicaltoursindia.com/why-india-for-medical-treatment,"Why India"
Static,Page,/contact-us,https://medicaltoursindia.com/contact-us,"Contact"
Static,Page,/free-second-opinion,https://medicaltoursindia.com/free-second-opinion,"Free Second Opinion"
Static,Page,/get-free-quote,https://medicaltoursindia.com/get-free-quote,"Get Free Quote"
Static,Page,/how-it-works,https://medicaltoursindia.com/how-it-works,"How It Works"
Static,Page,/emergency-urgent-cases,https://medicaltoursindia.com/emergency-urgent-cases,"Urgent Cases"
Static,Page,/insurance-tpa-international-patients,https://medicaltoursindia.com/insurance-tpa-international-patients,"Insurance & TPA"
Static,Page,/accreditations-certifications,https://medicaltoursindia.com/accreditations-certifications,"Accreditations"
Static,Page,/our-team,https://medicaltoursindia.com/our-team,"Our Team"
Static,Page,/reviews,https://medicaltoursindia.com/reviews,"Reviews"
Static,Page,/hospital-network,https://medicaltoursindia.com/hospital-network,"Hospital Network"
Static,Page,/hospitals,https://medicaltoursindia.com/hospitals,"Hospitals Hub"
Static,Page,/treatments,https://medicaltoursindia.com/treatments,"Treatments Hub"
Static,Page,/countries,https://medicaltoursindia.com/countries,"Countries Hub"
Static,Page,/doctors,https://medicaltoursindia.com/doctors,"Doctors Hub"
Static,Page,/cost-calculator,https://medicaltoursindia.com/cost-calculator,"Cost Calculator"
Static,Page,/patient-stories,https://medicaltoursindia.com/patient-stories,"Patient Stories Hub"
Static,Page,/blog,https://medicaltoursindia.com/blog,"Blog Hub"
Static,Page,/medical-visa-assistance,https://medicaltoursindia.com/medical-visa-assistance,"Medical Visa Assistance"
Static,Page,/travel-accommodation-assistance,https://medicaltoursindia.com/travel-accommodation-assistance,"Travel & Accommodation"
Static,Page,/interpreter-language-support,https://medicaltoursindia.com/interpreter-language-support,"Interpreter Support"
Static,Page,/faq,https://medicaltoursindia.com/faq,"FAQ"
Static,Page,/privacy-policy,https://medicaltoursindia.com/privacy-policy,"Privacy Policy"
Static,Page,/terms-of-service,https://medicaltoursindia.com/terms-of-service,"Terms of Service"
Static,Page,/african,https://medicaltoursindia.com/african,"African Landing Page"
Static,Page,/thank-you,https://medicaltoursindia.com/thank-you,"Thank You"
Treatments,Category,/treatments/cardiac-care-india,https://medicaltoursindia.com/treatments/cardiac-care-india,"Cardiac Care"
Treatments,Category,/treatments/orthopaedic-treatments-india,https://medicaltoursindia.com/treatments/orthopaedic-treatments-india,"Orthopaedic Treatments"
Treatments,Category,/treatments/cancer-treatment-india,https://medicaltoursindia.com/treatments/cancer-treatment-india,"Cancer Treatment"
Treatments,Category,/treatments/fertility-treatments-india,https://medicaltoursindia.com/treatments/fertility-treatments-india,"Fertility Treatments"
Treatments,Category,/treatments/neurology-neurosurgery-india,https://medicaltoursindia.com/treatments/neurology-neurosurgery-india,"Neurology & Neurosurgery"
Treatments,Category,/treatments/cosmetic-plastic-surgery-india,https://medicaltoursindia.com/treatments/cosmetic-plastic-surgery-india,"Cosmetic & Plastic Surgery"
Treatments,Category,/treatments/general-advanced-surgeries-india,https://medicaltoursindia.com/treatments/general-advanced-surgeries-india,"General & Advanced Surgeries"
Treatments,Category,/treatments/eye-care-ophthalmology-india,https://medicaltoursindia.com/treatments/eye-care-ophthalmology-india,"Eye Care & Ophthalmology"
Treatments,Category,/treatments/dental-treatments-india,https://medicaltoursindia.com/treatments/dental-treatments-india,"Dental Treatments"
Treatments,Category,/treatments/wellness-holistic-healing-india,https://medicaltoursindia.com/treatments/wellness-holistic-healing-india,"Wellness & Holistic Healing"
Treatments,Category,/treatments/urology-treatments-india,https://medicaltoursindia.com/treatments/urology-treatments-india,"Urology"
Treatments,Category,/treatments/gynecology-womens-health-india,https://medicaltoursindia.com/treatments/gynecology-womens-health-india,"Gynecology & Women's Health"
Treatments,Category,/treatments/ent-treatments-india,https://medicaltoursindia.com/treatments/ent-treatments-india,"ENT (Ear, Nose & Throat)"
Treatments,Category,/treatments/gastroenterology-india,https://medicaltoursindia.com/treatments/gastroenterology-india,"Gastroenterology & Hepatology"
Treatments,Category,/treatments/endocrinology-diabetes-india,https://medicaltoursindia.com/treatments/endocrinology-diabetes-india,"Endocrinology & Diabetes"
Treatments,Category,/treatments/vascular-surgery-india,https://medicaltoursindia.com/treatments/vascular-surgery-india,"Vascular Surgery"
Treatments,Category,/treatments/dermatology-skin-care-india,https://medicaltoursindia.com/treatments/dermatology-skin-care-india,"Dermatology & Skin Care"
Treatments,Category,/treatments/pediatric-treatments-india,https://medicaltoursindia.com/treatments/pediatric-treatments-india,"Pediatric Treatments"
Treatments,Category,/treatments/pulmonology-lung-care-india,https://medicaltoursindia.com/treatments/pulmonology-lung-care-india,"Pulmonology & Lung Care"
Treatments,Category,/treatments/hematology-bone-marrow-india,https://medicaltoursindia.com/treatments/hematology-bone-marrow-india,"Hematology & Bone Marrow"
Treatments,Procedure,/treatments/cardiac-care-india/heart-bypass-surgery-cost-india,https://medicaltoursindia.com/treatments/cardiac-care-india/heart-bypass-surgery-cost-india,"Heart Bypass Surgery (CABG)"
Cost Comparison,Comparison,/cost-comparison/heart-bypass-surgery-cost-india,https://medicaltoursindia.com/cost-comparison/heart-bypass-surgery-cost-india,"Heart Bypass Surgery (CABG) Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/angioplasty-stent-placement-cost-india,https://medicaltoursindia.com/treatments/cardiac-care-india/angioplasty-stent-placement-cost-india,"Angioplasty / Stent Placement"
Cost Comparison,Comparison,/cost-comparison/angioplasty-stent-placement-cost-india,https://medicaltoursindia.com/cost-comparison/angioplasty-stent-placement-cost-india,"Angioplasty / Stent Placement Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/heart-valve-replacement-surgery-india,https://medicaltoursindia.com/treatments/cardiac-care-india/heart-valve-replacement-surgery-india,"Heart Valve Replacement / Repair"
Cost Comparison,Comparison,/cost-comparison/heart-valve-replacement-surgery-india,https://medicaltoursindia.com/cost-comparison/heart-valve-replacement-surgery-india,"Heart Valve Replacement / Repair Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/pacemaker-implantation-india,https://medicaltoursindia.com/treatments/cardiac-care-india/pacemaker-implantation-india,"Pacemaker Implantation"
Cost Comparison,Comparison,/cost-comparison/pacemaker-implantation-india,https://medicaltoursindia.com/cost-comparison/pacemaker-implantation-india,"Pacemaker Implantation Cost Comparison"
Treatments,Procedure,/treatments/cardiac-care-india/pediatric-heart-surgery-india,https://medicaltoursindia.com/treatments/cardiac-care-india/pediatric-heart-surgery-india,"Pediatric Heart Surgery"
